distance,elevation
11.231548395737931,443.1282043457031
11.434829764957696,441.2083129882812
11.48753535951214,440.1458435058594
11.524977195926562,440.0042724609375
11.535330367882207,440.0617065429688
11.545305352956424,440.1636657714844
11.557824219842026,440.3092956542969
11.570296926088748,440.469482421875
11.58611555127074,440.6152648925781
11.6071563061812,440.7527770996094
11.7827285846749,441.5102233886719
11.884218547669866,441.8742980957031
11.905789552124396,441.9325561523438
12.000279031432214,442.3855590820312
12.05285998987168,442.53466796875
12.076592105466307,442.218505859375
12.084375642065881,442.1236267089844
12.088947345943534,442.0704956054688
12.111186332097239,441.7832946777344
12.825257636152116,434.9623718261719
12.881666461466468,435.0782165527344
12.90909947742358,435.1115417480469
12.916856917079219,435.2077941894531
13.155652878863986,438
13.235378691992466,438.699462890625
13.272042649986767,439.3529357910156
