Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-02,5.46352,5.55675,5.33033,5.36372,47020.002164212
2007-10-03,5.46352,5.46352,5.26374,5.36372,7621.9913516836
2007-10-04,5.26374,5.32367,5.24376,5.32367,2543.2216217325
2007-10-05,5.26374,5.51023,5.26374,5.50347,45579.574056041
2007-10-08,5.67023,5.67023,5.59698,5.67023,28407.347028265
2007-10-09,5.5635,5.69687,5.5303,5.60355,76695.671354694
2007-10-10,5.63028,5.65017,5.59014,5.60355,45566.419461446
2007-10-11,5.63028,5.63685,5.58366,5.63028,8557.0637841568
2007-10-12,5.60355,5.61687,5.60355,5.61687,9496.521081495
2007-10-15,5.63028,5.63028,5.40358,5.51698,14863.595676324
2007-10-16,5.40358,5.40358,4.99719,5.06378,85152.979463171
2007-10-17,4.99719,4.99719,4.73064,4.73064,153322.28108776
2007-10-18,4.79732,4.79732,4.69068,4.75727,28108.080001225
2007-10-19,4.86392,4.99044,4.76403,4.96389,25353.288649754
2007-10-22,4.89721,4.89721,4.73064,4.85734,7903.7189192634
2007-10-23,4.95733,4.95733,4.83052,4.84394,18409.855135938
2007-10-24,4.86392,4.86392,4.85734,4.85734,1506.2010811467
2007-10-25,4.79732,4.83052,4.69068,4.69068,13554.713514104
2007-10-26,4.69734,4.69734,4.66404,4.69068,8687.5135138922
2007-10-29,4.66404,4.69734,4.66404,4.6707,7239.4118922075
2007-10-30,4.7372,4.7372,4.73064,4.7372,4919.8183785928
2007-10-31,4.6707,4.76403,4.6707,4.76403,273113.50055245
2007-11-02,4.6707,4.73064,4.56406,4.73064,7078.2681084166
2007-11-05,4.63075,4.66404,4.46417,4.48415,9225.7556760778
2007-11-06,4.47093,4.63075,4.47093,4.50413,3673.4205407007
2007-11-07,4.50413,4.53068,4.47093,4.4909,6086.1924326977
2007-11-08,4.47093,4.47093,4.3308,4.45751,11809.537297812
