,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Volume,Wallet,Sell,Buy
2884,2020-06-10,4.56871,4.61059,4.56871,4.56871,5656.4756759222,0.0,4079.206294311046,,
2885,2020-06-12,4.48488,4.61059,4.48488,4.61059,5732.1145948445,0.0,4079.206294311046,,
2886,2020-06-15,4.56871,4.61059,4.52675,4.52675,9743.1697301544,0.0,4079.206294311046,,
2887,2020-06-16,4.61059,4.69451,4.52675,4.69451,12340.105946484,0.0,4079.206294311046,,
2888,2020-06-17,4.56871,4.69451,4.56871,4.56871,5835.1589191733,0.0,4079.206294311046,,
2889,2020-06-18,4.69451,4.69451,4.52675,4.52675,4031.883243419,0.0,4079.206294311046,,
2890,2020-06-19,4.69451,4.69451,4.52675,4.52675,2271.360000099,0.0,4079.206294311046,,
2891,2020-06-22,4.52675,4.61059,4.48488,4.48488,14349.470270896,0.0,4079.206294311046,,
2892,2020-06-23,4.52675,4.61059,4.48488,4.61059,5278.2810813112,0.0,4079.206294311046,,
2893,2020-06-24,4.61059,4.90396,4.61059,4.69451,25240.378379479,0.0,4079.206294311046,,
2894,2020-06-25,4.65246,4.69451,4.52675,4.69451,3994.611892066,868.9312184468764,4079.206294311046,,4.69451
2895,2020-06-26,4.69451,4.69451,4.56871,4.69451,3557.2216217767,868.9312184468764,4079.206294311046,,
2896,2020-06-29,4.56871,4.65246,4.52675,4.65246,3193.277837977,868.9312184468764,4042.6677365753544,,
2897,2020-06-30,4.56871,4.65246,4.56871,4.61059,1447.0054054685,868.9312184468764,4006.285586458984,,
2898,2020-07-01,4.61059,4.61059,4.23338,4.52675,27613.68648769,0.0,3933.4343931043977,4.52675,
2899,2020-07-02,4.52675,4.61059,4.48488,4.56871,4679.747027231,0.0,3933.4343931043977,,
2900,2020-07-03,4.52675,4.56871,4.52675,4.56871,1161.9891892398,0.0,3933.4343931043977,,
2901,2020-07-06,4.61059,4.61059,4.52675,4.61059,5811.0421624155,0.0,3933.4343931043977,,
2902,2020-07-07,4.52675,4.61059,4.52675,4.61059,2026.9037838721,0.0,3933.4343931043977,,
2903,2020-07-08,4.61059,4.61059,4.56871,4.61059,1850.4129730536,853.1303787811099,3933.4343931043977,,4.61059
2904,2020-07-09,4.61059,4.61059,4.52675,4.61059,5884.4886489052,853.1303787811099,3933.4343931043977,,
2905,2020-07-10,4.52675,4.56871,4.52675,4.56871,2030.1924325209,0.0,3897.705292841045,4.56871,
2906,2020-07-13,4.61059,4.61059,4.52675,4.56871,2994.8627028332,0.0,3897.705292841045,,
2907,2020-07-14,4.61059,4.61059,4.52675,4.61059,3491.4486488008,845.3810234354052,3897.705292841045,,4.61059
2908,2020-07-15,4.61059,4.61059,4.52675,4.61059,3358.8064866329,845.3810234354052,3897.705292841045,,
2909,2020-07-16,4.52675,4.61059,4.52675,4.56871,3268.9167568992,0.0,3862.3007355795703,4.56871,
2910,2020-07-17,4.56871,4.56871,4.48488,4.56871,4300.4562164037,0.0,3862.3007355795703,,
2911,2020-07-20,4.56871,4.56871,4.48488,4.56871,9858.2724328622,0.0,3862.3007355795703,,
2912,2020-07-21,4.56871,4.65246,4.56871,4.65246,9292.6248652699,830.1631256538628,3862.3007355795703,,4.65246
2913,2020-07-22,4.61059,4.65246,4.56871,4.65246,4162.3329731544,830.1631256538628,3862.3007355795703,,
2914,2020-07-23,4.61059,4.65246,4.52675,4.56871,12121.958919447,830.1631256538628,3792.77457380606,,
2915,2020-07-24,4.56871,4.69451,4.56871,4.69451,4940.6464867018,830.1631256538628,3897.2090950133156,,
2916,2020-07-27,4.65246,4.73638,4.61059,4.73638,7073.8832435516,830.1631256538628,3931.9680250844426,,
2917,2020-07-28,4.73638,4.77826,4.61059,4.73638,9782.6335139399,830.1631256538628,3931.9680250844426,,
2918,2020-07-29,4.61059,4.77826,4.56871,4.73638,5902.0281083654,830.1631256538628,3931.9680250844426,,
2919,2020-07-30,4.73638,4.73638,4.44301,4.44301,15771.26270339,0.0,3688.4230689113692,4.44301,
2920,2020-07-31,4.61059,4.65246,4.48488,4.65246,4301.5524326199,792.7898507265768,3688.4230689113692,,4.65246
2921,2020-08-03,4.65246,4.65246,4.52675,4.61059,4320.1881082964,0.0,3655.2289578614477,4.61059,
2922,2020-08-04,4.61059,4.65246,4.61059,4.65246,6807.5027029994,0.0,3655.2289578614477,,
2923,2020-08-05,4.69451,4.73638,4.65246,4.73638,8931.9697301191,771.7347336703237,3655.2289578614477,,4.73638
2924,2020-08-06,4.73638,4.77826,4.69451,4.73638,8426.6140544214,771.7347336703237,3655.2289578614477,,
2925,2020-08-07,4.65246,4.77826,4.61059,4.77826,5807.7535137667,771.7347336703237,3687.5492085075616,,
2926,2020-08-10,4.77826,4.77826,4.77826,4.77826,1024.9621622068,771.7347336703237,3687.5492085075616,,
2927,2020-08-11,4.77826,4.77826,4.61059,4.73638,2516.9124325421,771.7347336703237,3655.2289578614477,,
2928,2020-08-12,4.69451,4.77826,4.61059,4.73638,2964.1686487779,771.7347336703237,3655.2289578614477,,
2929,2020-08-13,4.65246,4.77826,4.65246,4.69451,1791.2172973754,771.7347336703237,3622.9164245626716,,
2930,2020-08-14,4.77826,4.77826,4.65246,4.73638,600.72648651267,771.7347336703237,3655.2289578614477,,
2931,2020-08-17,4.77826,4.77826,4.65246,4.73638,3280.9751352782,771.7347336703237,3655.2289578614477,,
2932,2020-08-18,4.73638,4.77826,4.65246,4.77826,943.8421622033,771.7347336703237,3687.5492085075616,,
2933,2020-08-19,4.77826,4.77826,4.65246,4.73638,2341.5178379399,771.7347336703237,3655.2289578614477,,
2934,2020-08-20,4.77826,4.77826,4.65246,4.69451,4547.1048650631,0.0,3622.9164245626716,4.69451,
2935,2020-08-21,4.77826,4.77826,4.65246,4.73638,1825.2000000796,0.0,3622.9164245626716,,
2936,2020-08-24,4.73638,4.73638,4.69451,4.73638,1203.6454054579,0.0,3622.9164245626716,,
2937,2020-08-25,4.73638,4.73638,4.69451,4.73638,658.82594597466,0.0,3622.9164245626716,,
2938,2020-08-26,4.73638,4.73638,4.65246,4.73638,1636.6508108822,0.0,3622.9164245626716,,
2939,2020-08-27,4.69451,4.73638,4.65246,4.73638,6064.2681083724,0.0,3622.9164245626716,,
